plot,genus,species,a4,a2,a-cover,a-alpha,b4,b2,b-cover,b-alpha,c4,c2,c-cover,c-alpha,d4,d2,d-cover,d-alpha
1,Unknown,dicot,4,3,4,1,4,4,5,1,,4,3,1,3,4,2,1
1,Arisaema,triphyllum,4,,2,1,,,,0,,2,1,1,,,,0
1,Geum,sp.,3,,4,1,2,2,4,1,2,3,4,1,3,2,4,1
1,TARAXACUM,OFFICINALE,3,,2,1,,,,0,,,,0,,,,0
1,ALLIARIA,PETIOLATA,3,3,3,1,,3,4,1,4,4,3,1,3,4,6,1
1,Moss,sp.,3,4,2,1,,4,2,1,,4,2,1,3,,2,1
1,LONICERA,MORROWII,3,4,4,1,2,3,3,1,2,4,3,1,2,2,3,1
1,Cardamine,douglassii,2,2,4,1,2,,2,1,,3,3,1,2,2,3,1
1,Galium,sp.,2,3,2,1,,,,0,4,,2,1,1,4,2,1
1,ROSA,MULTIFLORA,2,2,5,1,4,,6,1,2,,4,1,3,4,5,1
1,Ribes,sp.,,2,2,1,1,,2,1,,,,0,,,,0
1,Viola,pubescens,,2,5,1,2,4,4,1,4,,5,1,3,4,5,1
1,Sanicula,sp.,,2,1,1,,,,0,,,,0,,,,0
1,Unknown,monocot,,2,5,1,1,,4,1,3,2,5,1,4,3,2,1
1,Osmorhiza,claytonii,,2,2,1,,,,0,,,,0,1,,2,1
1,Claytonia,virginica,1,,2,1,1,,2,1,,,,0,,,,0
1,Sambucus,canadensis,1,,2,1,2,,3,1,,,,0,2,2,2,1
1,Cardamine,rhomboidea,1,,2,1,,,,0,,,,0,,2,2,1
1,GLECHOMA,HEDERACEA,1,,2,1,,2,2,1,,,,0,,2,2,1
1,Lamiaceae,spp.,,,,0,2,4,3,1,3,,3,1,3,2,3,1
1,Rubus,occidentalis,,,,0,,2,3,1,,,,0,,,,0
1,Sanguinaria,canadensis,,,,0,1,,1,1,,,,0,,,,0
1,MORUS,ALBA,,,,0,1,,1,1,,,,0,,,,0
1,Asteraceae,spp.,,,,0,,,,0,2,,2,1,3,,2,1
1,Polygonum,virginianum,,,,0,,,,0,,2,2,1,,2,2,1
1,Ulmus,sp.,,,,0,,,,0,,,,0,4,,2,1
1,Viola,sororia,,,,0,,,,0,,,,0,3,,2,1
1,Podophyllum,peltatum,,,,0,,,,0,,,,0,1,,2,1
1,Euonymus,obovatus,,,,0,,,,0,,,,0,,2,2,1
2,Podophyllum,peltatum,4,,2,1,,,,0,1,,2,1,2,,2,1
2,Cardamine,concatenata,2,,2,1,4,,3,1,,,,0,,,,0
2,Prenanthes,sp.,2,,2,1,2,,2,1,2,3,3,1,,2,2,1
2,Polygonatum,biflorum,2,,2,1,2,,2,1,2,,2,1,1,,2,1
2,Asteraceae,spp.,,2,2,1,1,,2,1,3,2,2,1,1,,2,1
2,Unknown,monocot,1,,2,1,,3,2,1,,4,2,1,,2,2,1
2,Prunus,serotina,1,,2,1,1,,2,1,1,,1,1,,,,0
2,Ulmus,sp.,,,,0,2,,2,1,,,,0,,2,2,1
2,LIGUSTRUM,VULGARE,,,,0,2,,2,1,1,,2,1,,,,0
2,Moss,sp.,,,,0,,3,2,1,1,,2,1,,,,0
2,ALLIARIA,PETIOLATA,,,,0,,2,1,1,,,,0,,,,0
2,Geum,sp.,,,,0,1,,2,1,,,,0,,,,0
2,ROSA,MULTIFLORA,,,,0,1,,2,1,1,,1,1,,,,0
2,Claytonia,virginica,,,,0,,,,0,1,,2,1,,,,0
3,Impatiens,capensis,3,2,3,1,4,3,3,1,,2,3,1,,4,2,1
3,Acer,sp.,2,,2,1,,,,0,2,3,2,1,,,,0
3,Ulmus,sp.,2,,2,1,,2,3,1,1,,2,1,2,,2,1
