genus,species,subspecies or variation,flowering date 1,flowering date 2,flowering date 3,average date,month,day,designation,notes,synonym,form
Unknown,dicot,,,,,,,,summer,,,unknown
Arisaema,triphyllum,,,,,2-May,5,2,spring,,,forb
Geum,sp.,,,,,,,,summer,,,forb
TARAXACUM,OFFICINALE,,,,,30-Apr,4,30,spring,,,forb
ALLIARIA,PETIOLATA,,,,,26-Apr,4,26,spring,,,forb
Moss,sp.,,,,,,,,,,,bryo
LONICERA,MORROWII,,,,,10-May,5,10,,,,shrub
Cardamine,douglassii,,6-May,20-Apr,6-May,30-Apr,4,30,spring,,,forb
Galium,sp.,,,,,,,,summer,,,forb
ROSA,MULTIFLORA,,,,,6-Jun,6,6,,,,shrub
Ribes,sp.,,,,,,,,,,,shrub
Viola,pubescens,,,,,23-Apr,4,23,spring,,,forb
Sanicula,sp.,,,,,,,,summer,,,forb
Unknown,monocot,,,,,,,,,,,grass
Osmorhiza,claytonii,,16-May,30-Apr,3-Apr,26-Apr,4,26,spring,,,forb
Claytonia,virginica,,13-Apr,25-Apr,16-Apr,18-Apr,4,18,spring,,,forb
Sambucus,canadensis,,28-May,13-Jul,2-Jul,24-Jun,6,24,,,,shrub
Cardamine,rhomboidea,,16-May,25-Apr,15-Apr,28-Apr,4,28,spring,,Cardamine bulbosa,forb
GLECHOMA,HEDERACEA,,,,,17-May,5,17,spring,,,forb
Rubus,occidentalis,,,,,17-May,5,17,,,,shrub
Sanguinaria,canadensis,,,,,14-Apr,4,14,spring,,,forb
MORUS,ALBA,,23-May,6-May,18-May,15-May,5,15,,,,tree
Polygonum,virginianum,,,,,1-Sep,9,1,summer,,,forb
Ulmus,sp.,,,,,,,,,,,tree
Viola,sororia,,,,,18-Apr,4,18,spring,,,forb
Podophyllum,peltatum,,,,,8-May,5,8,spring,,,forb
Euonymus,obovatus,,,,,6-May,5,6,,,,shrub
Cardamine,concatenata,,27-Apr,14-Apr,13-Apr,18-Apr,4,18,spring,,,forb
Prenanthes,sp.,,,,,,,,spring,,,forb
Polygonatum,biflorum,,,,,20-May,5,20,spring,,,forb
Prunus,serotina,,,,,19-May,5,19,,,,tree
LIGUSTRUM,VULGARE,,,,,28-May,5,28,,,,shrub
Impatiens,capensis,,,,,22-Aug,8,22,summer,,,forb
Acer,sp.,,,,,,,,,,,tree
Fraxinus,pennsylvanica,,,,,27-May,5,27,,,,tree
Acer,saccharum,,,,,4-Jun,6,4,,,,tree
Solidago,caesia,,,,,21-Sep,9,21,summer,,,forb
Fagus,grandifolia,,,,,,,,,,,tree
Ranunculus,abortivus,,,,,20-Apr,4,20,spring,,,forb
Erythronium,americanum,,14-Apr,13-Apr,13-Apr,13-Apr,4,13,spring,,,forb
Viburnum,acerifolium,,,,,24-May,5,24,,,,shrub
Quercus,sp.,,,,,,,,,,,tree
Polygonatum,pubescens,,,,,12-May,5,12,spring,,,forb
Maianthemum,racemosum,,,,,6-May,5,6,spring,,,forb
Tilia,americana,,25-Apr,25-Apr,8-May,29-Apr,4,29,,,,tree
Smilax,rotundifolia,,,,,,,,,,,vine
VIBURNUM,OPULUS,,,,,3-Jun,6,3,,,,shrub
RANUNCULUS,REPENS,,25-May,3-Jun,23-May,27-May,5,27,spring,,,forb
Potentilla,simplex,,,,,17-May,5,17,spring,,,forb
Rumex,sp.,,,,,,,,summer,,,forb
Carex,sp.,,,,,,,,,,,sedge
Ostrya,virginiana,,,,,29-May,5,29,,,,sm tree
Hieracium,sp.,,,,,,,,summer,,,forb
Hedyotis,caerulea,,15-May,26-May,20-May,20-May,5,20,spring,,Houstonia caerulea,forb
Maianthemum,canadense,,,,,25-May,5,25,spring,,,forb
Crataegus,sp.,,,,,,,,,,,sm tree
Tsuga,canadensis,,,,,,,,,,,tree
Plantago,sp.,,,,,,,,summer,,,forb
Lysimachia,ciliata,,,,,10-Jul,7,10,summer,,,forb
Quercus,alba,,14-May,24-May,18-May,18-May,5,18,,,,tree
Geranium,maculatum,,,,,28-Apr,4,28,spring,,,forb
Carpinus,caroliniana,,,,,,,,,,,sm tree
Carya,sp.,,,,,,,,,,,tree
Smilax,hispida,,,,,,,,,,,vine
Carex,pensylvanica,,,,,3-May,5,3,,,,sedge
Pinus,strobus,,,,,,,,,,,tree
Magnolia,acuminata,,,,,,,,,,,tree
Allium,canadense,,,,,9-Jun,6,9,spring,,,forb
Allium,tricoccum,,,,,23-Jun,6,23,spring,,,forb
Circaea,lutetiana,,,,,1-Jul,7,1,summer,,,forb
Parthenocissus,quinquefolia,,,,,14-Jun,6,14,,,,vine
Vitis,sp.,,,,,,,,,,,vine
EUONYMUS,ALATUS,,,,,20-May,5,20,,,,shrub
Cornus,florida,,,,,30-Apr,4,30,,,,sm tree
Rubus,allegheniensis,,,,,4-Jun,6,4,,,,shrub
LONICERA,MAACKII,,,,,12-May,5,12,,,,shrub
Toxicodendron,radicans,,,,,22-Jun,6,22,,,,vine
Acer,rubrum,,,,,22-Apr,4,22,,,,tree
Anemonella,thalictroides,,,,,1-May,5,1,spring,,,forb
Lindera,benzoin,,,,,15-Apr,4,15,,,,shrub
VERONICA,OFFICINALIS,,,,,31-May,5,31,spring,,,forb
Fraxinus,sp.,,,,,,,,,,,tree
Caulophyllum,thalictroides,,,,,25-Apr,4,25,spring,,,forb
Trillium,sp.,,,,,,4,,spring,,,forb
Trillium,grandiflorum,,27-Apr,14-Apr,23-Apr,21-Apr,4,21,spring,,,forb
Dicentra,canadensis,,23-Apr,27-Apr,16-Apr,22-Apr,4,22,spring,,,forb
Viola,canadensis,,,,,30-Apr,4,30,spring,,,forb
Hepatica,acutiloba,,,,,21-Apr,4,21,spring,evergreen,,forb
Actaea,alba,,,,,1-Jun,6,1,spring,,,forb
Polystichum,acrostichoides,,,,,,,,,,,fern
Sambucus,sp.,,,,,,,,,,,shrub
Hydrophyllum,virginianum,,16-May,29-May,17-May,20-May,5,20,spring,,,forb
Carex,plantaginea,,,,,12-May,5,12,,,,sedge
Cardamine,diphylla,,28-Apr,6-May,16-Apr,26-Apr,4,26,spring,,,forb
Tiarella,cordifolia,,,,,7-May,5,7,spring,,,forb
Prosartes,lanuginosa,,,,,11-May,5,11,spring,,,forb
Trillium,erectum,,27-Apr,6-May,3-May,2-May,5,2,spring,,,forb
Viola,blanda,,6-May,10-May,29-Apr,5-May,5,5,spring,,,forb
Dryopteris,sp.,,,,,,,,,,,fern
Betula,alleghaniensis,,11-May,26-May,15-Jun,27-May,5,27,,,,tree
Panicum,sp.,,,,,,,,,,,grass
Elymus,sp.,,,,,,,,,,,grass
Amphicarpaea,bracteata,,,,,29-Aug,8,29,summer,,,forb
Polemonium,reptans,,,,,21-Apr,4,21,spring,,,forb
Eupatorium,rugosum,,,,,13-Aug,8,13,summer,,,forb
LYSIMACHIA,NUMMULARIA,,,,,12-Jun,6,12,summer,,,forb
Viola,striata,,,,,27-Apr,4,27,spring,,,forb
Solidago,gigantea,,2-Aug,27-Aug,24-Aug,17-Aug,8,17,summer,,,forb
Geum,vernum,,25-Apr,6-May,25-Apr,28-Apr,4,28,spring,,,forb
