plot #,plot index,mod,OM,P1,K,MG,CA,PH,CEC,PERK,PERMG,PERCA,C,N,C:N,PERH,BPH
1038-2,8,a,9.9,5,83,50,150,3.8,23,0.9,1.8,3.3,6.1,0.356,17.1,94,5.2
1038-3,8,b,14.6,4,104,40,200,3.5,26.8,1,1.2,3.7,8.5,0.536,15.9,94,4.9
1038-4,8,c,7.8,2,76,45,200,3.8,24.4,0.8,1.5,4.1,4.5,0.343,13.1,93.6,5.1
1038-5,8,d,14.6,4,91,55,400,3.8,17.1,1.4,2.7,11.7,8.5,0.518,16.4,84.3,5.8
1054-2,13,a,5.9,3,146,245,1700,6.6,12.1,3.1,16.9,70.2,3.4,0.296,11.5,9.9,6.9
1054-3,13,b,4.8,4,162,220,1550,6.5,11.2,3.7,16.4,69.2,2.8,0.264,10.6,10.7,6.9
1054-8,13,c,5.3,2,125,235,1750,6.6,12.2,2.6,16,71.6,3.1,0.25,12.4,9.8,6.9
1054-9,13,d,5.9,2,108,220,1700,6.8,10.9,2.5,16.8,77.7,3.4,0.282,12.1,3,7.2
1090-2,18,a,2.9,2,74,95,350,4.5,7.5,2.5,10.5,23.2,1.7,0.155,11,63.7,6.6
1090-3,18,b,4.7,1,80,110,400,4.3,15.1,1.4,6.1,13.2,2.7,0.147,18.4,79.4,6
1090-8,18,c,5.2,4,75,80,350,4.4,15.8,1.2,4.2,11.1,3,0.178,16.8,83.5,5.9
1090-9,18,d,4.8,5,76,75,400,4.4,17.2,1.1,3.6,11.6,2.8,0.22,12.7,83.6,5.8
1094-2,20,a,3.4,9,100,150,3400,7.8,18.5,1.4,6.8,91.9,2,0.157,12.7,,7.2
1094-3,20,b,4.5,49,82,245,2000,7.6,12.3,1.7,16.7,81.6,2.6,0.143,18.2,,7.2
1094-8,20,c,4.3,6,95,205,3300,8,18.5,1.3,9.3,89.4,2.5,0.165,15.1,,7.2
1094-9,20,d,5.9,6,88,215,2000,7.4,12,1.9,14.9,83.2,3.4,0.23,14.8,,7.2
1017-2,3,a,7.6,2,57,250,1050,6.9,7.6,1.9,27.4,69.1,4.4,0.232,19,1.5,7.2
1017-3,3,b,7.3,2,67,220,1050,7.1,7.3,2.4,25.3,72.4,4.2,0.206,20.4,,7.2
1017-8,3,c,9,3,57,75,200,4.6,5.4,2.7,11.6,18.6,5.2,0.266,19.5,67,6.7
1017-9,3,d,9.1,2,64,95,250,4.6,5.8,2.8,13.6,21.5,5.3,0.234,22.7,62,6.7
1033-1,5,a,7.7,9,77,75,450,4.9,6.7,3,9.4,33.7,4.5,0.333,13.5,54,6.7
1033-2,5,b,7.2,10,90,75,400,4.7,7.7,3,8.2,26.1,4.2,0.306,13.7,62.7,6.6
1033-3,5,c,8.8,8,83,80,350,4.8,6.2,3.4,10.7,28.1,5.1,0.34,15,57.8,6.7
1033-4,5,d,8.1,7,63,60,300,4.8,5.8,2.8,8.7,26,4.7,0.32,14.7,62.5,6.7
1044-2,10,a,3.9,10,49,95,650,5.3,7.8,1.6,10.2,41.8,2.3,0.182,12.7,46.3,6.7
1044-3,10,b,4.8,10,56,110,700,5.1,8.2,1.8,11.2,42.9,7.8,0.211,36.9,44.1,6.7
1044-8,10,c,4,9,51,105,700,5.2,8.1,1.6,10.8,43.2,2.3,0.201,11.4,44.4,6.7
1044-9,10,d,4.4,11,55,90,550,4.9,7.2,1.9,10.4,38,2.6,0.201,12.9,49.7,6.7
1092-2,19,a,6.6,2,61,35,150,4.7,3.6,4.3,8.1,20.8,3.8,0.242,15.7,66.7,6.8
1092-3,19,b,9,4,67,40,300,5.1,4.4,3.9,7.6,34.1,5.2,0.298,17.4,54.5,6.8
1092-8,19,c,4.7,2,69,60,300,5.4,3.4,5.2,14.8,44.4,2.7,0.187,14.4,35.5,6.9
1092-9,19,d,7.3,3,67,40,150,4.6,3.7,4.7,9.1,20.5,4.2,0.283,14.8,65.7,6.8
1097-2,21,a,6.3,3,69,45,150,4.4,20.5,0.9,1.8,3.7,3.7,0.257,14.4,93.6,5.4
1097-3,21,b,9.2,4,59,35,150,4.4,20.4,0.7,1.4,3.7,5.3,0.343,15.5,94.2,5.4
1097-8,21,c,7.4,3,55,35,150,4.5,3.6,3.9,8.1,20.9,4.3,0.319,13.5,67,6.8
1097-9,21,d,6.2,2,52,50,200,4.8,4,3.4,10.5,25.3,3.6,0.246,14.6,60.8,6.8
1035-2,7,a,5.6,1,65,80,200,4.7,5.4,3.1,12.3,18.4,3.2,0.238,13.4,66.3,6.7
1035-3,7,b,6,1,60,50,100,4.3,22.7,0.7,1.8,2.2,3.5,0.303,11.6,95.3,5.2
1035-8,7,c,6.9,1,76,90,250,4.6,5.8,3.4,12.9,21.6,4,0.317,12.6,62.1,6.7
1035-9,7,d,7,1,66,120,300,4.7,6.3,2.7,16,23.9,4.1,0.278,14.7,57.4,6.7
1039-2,9,a,8.4,5,120,300,1800,6.3,14.2,2.2,17.6,63.3,4.9,0.407,12,16.9,6.8
1039-3,9,b,6.3,5,113,265,1600,6.1,12.9,2.2,17.1,62,3.7,0.334,11.1,18.6,6.8
1039-8,9,c,8.4,8,109,265,1700,6.2,13.4,2.1,16.5,63.5,4.9,0.446,11,17.9,6.8
