plot #,plot index,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,d1,d2,d3,d4,plot average,a-average,b-average,c-average,d-average
1009,1,12,14,14,22,17,8,16,11,10,6,8,12,10,10,12,7,11.8125,15.5,13,9,9.75
1013,2,1,3,1,2,2,2,0,3,3,3,2,3,0,2,2,4,2.0625,1.75,1.75,2.75,2
1017,3,7,21,9,7,8,10,8,5,5,8,6,4,14,6,5,4,7.9375,11,7.75,5.75,7.25
1025,4,3,8,4,3,4,7,5,5,7,12,6,5,3,4,3,6,5.3125,4.5,5.25,7.5,4
1033,5,3,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0.625,1.25,0.75,0.25,0.25
1034,6,6,11,6,0,0,0,3,1,,,,,,,,,3.375,5.75,1,,
1035,7,14,10,8,15,17,12,9,11,12,9,5,10,12,8,5,7,10.25,11.75,12.25,9,8
1038,8,16,3,1,3,7,4,5,7,4,3,4,4,3,2,3,2,4.4375,5.75,5.75,3.75,2.5
1039,9,8,5,9,8,4,9,14,13,20,5,6,1,14,9,26,11,10.125,7.5,10,8,15
1044,10,4,3,3,5,3,2,0,2,3,4,2,2,3,5,2,8,3.1875,3.75,1.75,2.75,4.5
1045,11,10,4,10,7,10,4,10,9,8,7,11,10,9,6,11,9,8.4375,7.75,8.25,9,8.75
1051,12,3,0,0,3,3,0,2,1,3,0,2,4,1,1,2,1,1.625,1.5,1.5,2.25,1.25
1054,13,20,0,4,5,6,1,0,0,2,10,1,6,1,2,1,2,3.8125,7.25,1.75,4.75,1.5
1061,14,10,9,7,6,10,6,9,13,3,8,2,3,4,3,6,2,6.3125,8,9.5,4,3.75
1069,15,2,1,5,2,11,10,10,9,2,10,1,3,2,1,6,2,4.8125,2.5,10,4,2.75
1071,16,12,14,7,13,13,18,19,7,9,13,11,14,10,6,10,3,11.1875,11.5,14.25,11.75,7.25
1089,17,14,5,7,9,6,6,4,11,9,8,7,9,7,6,11,6,7.8125,8.75,6.75,8.25,7.5
1090,18,2,5,4,5,4,6,5,2,9,4,7,5,6,6,7,4,5.0625,4,4.25,6.25,5.75
1092,19,12,7,4,10,7,2,4,7,4,4,7,5,6,3,4,7,5.8125,8.25,5,5,5
1094,20,12,4,7,6,10,3,9,5,8,2,8,4,10,5,8,2,6.4375,7.25,6.75,5.5,6.25
1097,21,2,0,0,2,1,0,0,1,2,1,4,0,0,2,4,2,1.3125,1,0.5,1.75,2
1098,22,10,9,8,10,13,10,4,12,18,27,26,22,2,5,4,6,11.625,9.25,9.75,23.25,4.25
1099,23,9,13,5,11,10,8,5,10,14,32,15,7,6,30,12,7,12.125,9.5,8.25,17,13.75
1136,24,2,0,0,1,0,0,1,0,0,0,1,1,1,2,0,2,0.4375,0.75,0.25,0.25,0.5
1376,25,14,15,9,10,10,7,7,3,14,15,12,12,5,5,6,9,9.5625,12,6.75,13.25,6.25
3370,26,5,11,6,11,2,5,3,2,3,4,6,3,2,6,4,4,4.8125,8.25,3,4,4
3596,27,12,10,10,8,12,12,8,13,14,13,12,13,19,9,11,12,11.75,10,11.25,13,12.75
3668,28,1,1,0,0,0,1,0,1,0,2,2,0,0,2,1,0,0.6875,0.5,0.5,1,0.75
3732,29,1,3,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0.5625,1,0.25,0.75,0.25
