plot #,plot index,a-litter organic,a-litter,a-rd,b-litter organic,b-litter,b-rd,c-litter organic,c-litter,c-rd,d-litter organic,d-litter,d-rd,average litter organic,average litter,average rd
1009,1,0.8,0.8,101,0.1,0.1,101,1,1,101,1.2,1.2,101,0.775,0.775,101
1013,2,2.4,2.4,21,3,3,21.5,2,2,29,2.3,2.3,30.5,2.425,2.425,25.5
1017,3,0.3,0.3,77,0.3,0.3,85,0.6,0.6,60,2,2,55,0.8,0.8,69.25
1025,4,4.5,4.5,89,2.5,2.5,95,1.4,1.4,60,2.6,2.6,58,2.75,2.75,75.5
1033,5,2.6,0.7,72,2.1,0.4,53,1.4,0.5,67,2.1,0.7,54,2.05,0.575,61.5
1034,6,1.4,1.4,101,1.6,1.6,101,,,,,,,1.5,1.5,101
1035,7,1.6,0.9,101,0.4,0.3,101,0.9,0.5,101,0.5,0.5,101,0.85,0.55,101
1038,8,1.6,1.6,101,1.3,1.3,101,1.9,1.9,101,2.4,2.4,101,1.8,1.8,101
1039,9,0.4,0.4,101,0.3,0.3,101,0.6,0.6,101,0.7,0.7,101,0.5,0.5,101
1044,10,0.2,0.2,101,0.2,0.2,101,0.2,0.2,101,0.2,0.2,101,0.2,0.2,101
1045,11,1.8,1.8,23,1.6,1.6,101,1.5,1.5,60,1.6,1.6,101,1.625,1.625,71.25
1051,12,1.7,1.7,9,1.4,1.4,101,1.6,1.6,101,0.7,0.7,68,1.35,1.35,69.75
1054,13,0,0,101,0,0,101,0,0,101,0.2,0.2,101,0.05,0.05,101
1061,14,1.6,1.6,25,1.4,1.4,20,1.8,1.8,101,1.3,1.3,16,1.525,1.525,40.5
1069,15,0,0,101,0,0,101,0,0,101,0,0,101,0,0,101
1071,16,2.1,2.1,101,1.5,1.5,55,0.8,0.8,101,1.8,1.8,101,1.55,1.55,89.5
1089,17,4.4,4.4,33,3.8,3.8,49,5.1,5.1,42,0.1,0.1,39,3.35,3.35,40.75
1090,18,3.2,3.2,86,2.1,2.1,87,1.8,1.8,91,2,2,43,2.275,2.275,76.75
1092,19,1.4,1.4,63,0.7,0.7,33,0.1,0.1,33,1.5,1.5,36,0.925,0.925,41.25
1094,20,2.5,2.5,101,0.6,0.6,101,0.9,0.9,101,1.2,1.2,101,1.3,1.3,101
1097,21,2.7,2.7,25,2,2,29,3.2,3.2,30,2.6,2.6,75,2.625,2.625,39.75
1098,22,0.3,0.3,101,0.1,0.1,101,0.1,0.1,58,1.8,1.8,83,0.575,0.575,85.75
1099,23,1.9,1.9,101,3.5,3.5,101,2.1,2.1,52,1.4,1.4,57,2.225,2.225,77.75
1136,24,3.6,3.6,48,2.4,2.4,35,3.8,3.8,37,2.6,2.6,36,3.1,3.1,39
1376,25,0.8,0.8,27,0.4,0.4,65,1.4,1.4,70,2.2,2.2,16,1.2,1.2,44.5
3370,26,2.4,2.4,28,2.2,2.2,67,2.3,2.3,28,2,2,30,2.225,2.225,38.25
3596,27,3.8,3.8,35,3.2,3.2,32,3.7,3.7,28,3.5,3.5,37,3.55,3.55,33
3668,28,0.3,0.3,34,1.1,1.1,44.5,0.9,0.9,29,1.2,1.2,44,0.875,0.875,37.875
3732,29,3.4,3.4,55,3.5,3.5,54,2.9,2.9,44,2,2,59,2.95,2.95,53
