plot,genus,species,herb layer,herb y/n,a-cover,a-alpha,b-cover,b-alpha,c-cover,c-alpha,d-cover,d-alpha,res
1,Sambucus,canadensis,2,1,3,1,3,1,,0,2,1,0
1,ALLIARIA,PETIOLATA,3,1,3,1,3,1,3,1,5,1,0
1,Fraxinus,sp.,2,1,2,1,2,1,2,1,2,1,0
1,Toxicodendron,radicans,3,1,2,1,2,1,,0,2,1,0
1,Galium,triflorum,2,1,2,1,,0,1,1,2,1,0
1,Arisaema,triphyllum,2,1,3,1,2,1,3,1,2,1,0
1,Impatiens,capensis,3,1,4,1,4,1,4,1,4,1,0
1,Circaea,lutetiana,3,1,3,1,3,1,3,1,4,1,0
1,Geum,canadense,2,1,3,1,2,1,2,1,2,1,0
1,Parthenocissus,quinquefolia,3,1,2,1,2,1,2,1,3,1,0
1,Moss,sp.,2,1,2,1,2,1,2,1,3,1,0
1,TARAXACUM,OFFICINALE,1,1,1,1,,0,,0,,0,0
1,Fraxinus,pennsylvanica,2,1,2,1,2,1,3,1,3,1,0
1,LONICERA,MORROWII,4,1,7,1,5,1,7,1,8,1,0
1,Lindera,benzoin,2,1,6,1,6,1,2,1,3,1,0
1,Cornus,alternifolia,2,1,2,1,2,1,,0,2,1,0
1,ROSA,MULTIFLORA,4,1,8,1,8,1,5,1,4,1,0
1,BERBERIS,THUNBERGII,4,1,3,1,,0,,0,,0,0
1,Polygonum,virginianum,4,1,5,1,4,1,6,1,6,1,0
1,Elymus,villosus,2,1,2,1,,0,,0,,0,0
1,Prunus,serotina,2,1,1,1,,0,,0,1,1,0
1,Blephilia,hirsuta,3,1,2,1,3,1,3,1,3,1,0
1,Eupatorium,rugosum,4,1,5,1,5,1,5,1,5,1,0
1,Crataegus,sp.,2,1,2,1,,0,,0,2,1,0
1,Ulmus,rubra,,0,2,1,,0,,0,,0,0
1,GLECHOMA,HEDERACEA,2,1,2,1,2,1,,0,2,1,0
1,POA,PRATENSIS,2,1,2,1,2,1,,0,2,1,0
1,Galium,aparine,2,1,2,1,,0,,0,2,1,0
1,Viola,sp.,2,1,2,1,2,1,2,1,2,1,0
1,Geum,sp.,2,1,2,1,2,1,2,1,2,1,0
1,Carex,laxiculmis,2,1,1,1,1,1,,0,,0,0
1,Rubus,occidentalis,2,1,1,1,3,1,2,1,,0,0
1,Ribes,americanum,2,1,2,1,2,1,,0,,0,0
1,Pyrus,sp.,2,1,1,1,2,1,2,1,1,1,0
1,Cinna,arundinacea,2,1,2,1,,0,,0,,0,0
1,Unknown,dicot,2,1,1,1,,0,1,1,1,1,0
1,Acer,negundo,,0,2,1,,0,,0,,0,0
1,Ulmus,sp.,2,1,3,1,2,1,1,1,,0,0
1,Lysimachia,ciliata,1,1,1,1,,0,,0,,0,0
1,Pilea,pumila,2,1,,0,2,1,3,1,1,1,0
1,Poa,sylvestris,2,1,,0,1,1,,0,2,1,0
1,Quercus,sp.,2,1,,0,,0,1,1,,0,0
1,Actaea,alba,2,1,,0,,0,2,1,,0,0
1,Poa,alsodes,1,1,,0,,0,,0,1,1,0
1,Ribes,cynosbati,2,1,,0,,0,3,1,,0,0
1,Sanicula,sp.,2,1,,0,,0,,0,1,1,0
1,Polygonatum,pubescens,1,1,,0,,0,,0,1,1,0
1,Podophyllum,peltatum,2,1,,0,,0,,0,2,1,0
1,Hackelia,virginiana,2,1,,0,,0,,0,1,1,0
1,Osmorhiza,longistylis,1,1,,0,,0,,0,1,1,0
1,Carya,cordiformis,1,1,,0,,0,,0,1,1,0
1,Acer,sp.,1,1,,0,,0,,0,1,1,0
1,Ulmus,americana,1,1,,0,,0,,0,1,1,0
1,Viola,sp.,2,1,,0,,0,,0,2,1,0
1,Carex,blanda,2,1,,0,,0,1,1,,0,0
1,Potentilla,simplex,2,1,,0,,0,,0,,0,1
1,Festuca,subverticillata,2,1,,0,,0,,0,,0,1
1,Agrimonia,sp.,1,1,,0,,0,,0,,0,1
1,Cornus,florida,,0,,0,,0,,0,,0,1
1,Quercus,muehlenbergii,,0,,0,,0,,0,,0,1
1,ARCTIUM,LAPPA,2,1,,0,,0,,0,,0,1
1,Carex,cephalophora,1,1,,0,,0,,0,,0,1
1,Leersia,virginica,2,1,,0,,0,2,1,,0,0
1,Geranium,maculatum,2,1,,0,,0,,0,,0,1
1,Quercus,rubra,,0,,0,,0,,0,,0,1
1,Oxalis,stricta,1,1,,0,,0,,0,,0,1
1,Solidago,caesia,2,1,,0,,0,,0,,0,1
1,Unknown,dicot,2,1,,0,,0,,0,,0,1
1,Carex,hirtifolia,2,1,,0,,0,,0,,0,1
1,Carex,gracillima,2,1,,0,,0,,0,,0,1
1,Carpinus,caroliniana,2,1,,0,,0,,0,,0,1
1,Senecio,obovatus,2,1,,0,,0,,0,,0,1
2,Parthenocissus,quinquefolia,2,1,2,1,2,1,2,1,1,1,0
2,Fraxinus,sp.,2,1,2,1,2,1,2,1,2,1,0
2,Podophyllum,peltatum,2,1,2,1,,0,2,1,2,1,0
2,Carya,cordiformis,2,1,2,1,,0,1,1,,0,0
2,Acer,saccharum,2,1,2,1,2,1,2,1,,0,0
2,Solidago,caesia,2,1,2,1,,0,2,1,2,1,0
2,Arisaema,triphyllum,2,1,2,1,2,1,2,1,2,1,0
2,Prenanthes,sp.,3,1,2,1,2,1,4,1,2,1,0
2,Fagus,grandifolia,2,1,3,1,2,1,2,1,2,1,0
2,Prunus,serotina,2,1,1,1,1,1,,0,2,1,0
2,Carex,digitalis,2,1,2,1,,0,,0,2,1,0
2,Carex,swanii,2,1,2,1,,0,2,1,2,1,0
2,Maianthemum,racemosum,1,1,1,1,1,1,,0,,0,0
2,Circaea,lutetiana,2,1,1,1,2,1,2,1,,0,0
2,Moss,sp.,2,1,2,1,2,1,,0,,0,0
2,Carya,sp.,2,1,1,1,,0,,0,,0,0
2,Viburnum,dentatum,2,1,,0,1,1,,0,2,1,0
2,Ulmus,sp.,2,1,,0,1,1,,0,,0,0
2,Polygonatum,biflorum,2,1,,0,2,1,,0,,0,0
2,LIGUSTRUM,VULGARE,2,1,,0,2,1,2,1,,0,0
2,Carex,sp.,2,1,,0,1,1,,0,,0,0
2,Toxicodendron,radicans,2,1,,0,2,1,2,1,,0,0
2,Glyceria,striata,2,1,,0,2,1,,0,2,1,0
2,Carex,amphibola,2,1,,0,2,1,2,1,,0,0
2,ROSA,MULTIFLORA,2,1,,0,3,1,2,1,,0,0
2,Polygonum,virginianum,1,1,,0,1,1,,0,,0,0
2,Geum,canadense,1,1,,0,2,1,,0,,0,0
2,Carex,gracillima,2,1,,0,2,1,,0,,0,0
2,Leersia,virginica,2,1,,0,2,1,1,1,,0,0
2,PRUNUS,CERASUS,1,1,,0,1,1,,0,,0,0
2,Lindera,benzoin,2,1,,0,2,1,,0,,0,0
2,Quercus,sp.,2,1,,0,,0,1,1,1,1,0
2,Carex,laxiculmis,2,1,,0,,0,2,1,,0,0
2,VERONICA,OFFICINALIS,2,1,,0,,0,2,1,2,1,0
2,Acer,sp.,2,1,,0,,0,1,1,2,1,0
2,Epifagus,virginiana,1,1,,0,,0,,0,1,1,0
2,VIBURNUM,PLICATUM,1,1,,0,,0,,0,1,1,0
2,Polygonatum,pubescens,1,1,,0,,0,,0,1,1,0
2,Carex,radiata,2,1,,0,,0,,0,2,1,0
2,Ostrya,virginiana,2,1,,0,,0,,0,2,1,0
2,Crataegus,sp.,1,1,,0,,0,,0,,0,1
2,Mitchella,repens,2,1,,0,,0,,0,,0,1
3,Impatiens,capensis,3,1,4,1,2,1,2,1,2,1,0
3,Toxicodendron,radicans,2,1,2,1,1,1,2,1,,0,0
3,Fagus,grandifolia,2,1,2,1,5,1,5,1,6,1,0
3,Carya,sp.,1,1,1,1,1,1,,0,,0,0
3,Parthenocissus,quinquefolia,2,1,2,1,,0,,0,,0,0
3,Fraxinus,pennsylvanica,2,1,3,1,3,1,3,1,5,1,0
3,Ulmus,sp.,2,1,2,1,2,1,,0,,0,0
3,RHAMNUS,FRANGULA,2,1,2,1,,0,2,1,,0,0
3,POLYGONUM,PERSICARIA,2,1,1,1,2,1,,0,,0,0
3,Leersia,virginica,3,1,3,1,3,1,2,1,2,1,0
3,VERONICA,OFFICINALIS,2,1,2,1,1,1,1,1,2,1,0
3,Aster,lateriflorus,2,1,2,1,2,1,,0,2,1,0
3,Quercus,sp.,2,1,2,1,,0,,0,2,1,0
3,Smilax,rotundifolia,2,1,2,1,4,1,,0,,0,0
3,Prunella,vulgaris,2,1,2,1,2,1,,0,,0,0
3,Prunus,serotina,2,1,2,1,2,1,2,1,2,1,0
3,Geum,canadense,2,1,2,1,2,1,,0,2,1,0
3,Solidago,caesia,2,1,2,1,2,1,2,1,2,1,0
3,TARAXACUM,OFFICINALE,2,1,2,1,1,1,1,1,1,1,0
3,Vitis,sp.,1,1,1,1,,0,,0,1,1,0
3,Moss,sp.,5,1,2,1,,0,6,1,4,1,0
3,Acer,saccharum,,0,5,1,3,1,,0,5,1,0
3,Viburnum,acerifolium,2,1,3,1,,0,,0,5,1,0
3,Glyceria,striata,2,1,2,1,2,1,,0,,0,0
3,VERONICA,SERPYLLIFOLIA,2,1,2,1,,0,,0,,0,0
3,Unknown,dicot,1,1,2,1,,0,,0,,0,0
3,Poa,alsodes,2,1,2,1,2,1,2,1,2,1,0
3,Acer,rubrum,,0,5,1,5,1,,0,,0,0
3,Ranunculus,recurvatus,2,1,2,1,2,1,,0,,0,0
3,Oxalis,stricta,2,1,2,1,2,1,,0,,0,0
3,Unknown,dicot,1,1,2,1,,0,,0,,0,0
3,Arisaema,triphyllum,2,1,2,1,,0,2,1,2,1,0
3,Scirpus,atrovirens,1,1,2,1,,0,,0,,0,0
3,Tilia,americana,1,1,1,1,,0,,0,,0,0
3,Maianthemum,racemosum,2,1,2,1,,0,2,1,1,1,0
3,Polygonum,virginianum,2,1,2,1,2,1,2,1,2,1,0
3,Liriodendron,tulipifera,2,1,2,1,,0,,0,,0,0
3,Cardamine,pensylvanica,2,1,2,1,,0,,0,,0,0
3,Ostrya,virginiana,2,1,1,1,1,1,2,1,2,1,0
3,Quercus,rubra,,0,,0,2,1,,0,,0,0
3,Fraxinus,sp.,2,1,,0,2,1,2,1,2,1,0
3,VIBURNUM,OPULUS,2,1,,0,2,1,,0,,0,0
3,RUMEX,OBTUSIFOLIUS,2,1,,0,2,1,,0,,0,0
3,POA,TRIVIALIS,1,1,,0,1,1,,0,,0,0
3,Potentilla,simplex,2,1,,0,2,1,,0,,0,0
3,Ranunculus,abortivus,1,1,,0,1,1,1,1,,0,0
3,Podophyllum,peltatum,2,1,,0,2,1,,0,,0,0
3,Viola,sp.,2,1,,0,2,1,,0,,0,0
3,Plantago,sp.,2,1,,0,1,1,,0,2,1,0
3,Carex,swanii,2,1,,0,1,1,2,1,2,1,0
3,Bidens,sp.,2,1,,0,1,1,2,1,,0,0
3,Lindera,benzoin,2,1,,0,5,1,3,1,,0,0
3,Euonymus,obovatus,2,1,,0,2,1,,0,,0,0
3,Fraxinus,americana,,0,,0,3,1,,0,,0,0
3,Tsuga,canadensis,2,1,,0,,0,4,1,3,1,0
3,Unknown,dicot,1,1,,0,,0,1,1,,0,0
3,Acer,sp.,2,1,2,1,2,1,2,1,2,1,0
3,Danthonia,spicata,2,1,,0,,0,1,1,,0,0
3,Prenanthes,sp.,2,1,,0,,0,2,1,,0,0
3,Hedyotis,caerulea,2,1,,0,,0,2,1,2,1,0
3,Mitchella,repens,1,1,,0,,0,,0,1,1,0
3,Viburnum,dentatum,2,1,,0,,0,,0,1,1,0
3,Pyrus,sp.,1,1,,0,,0,,0,2,1,0
3,Sanicula,canadensis,2,1,,0,,0,,0,2,1,0
3,Maianthemum,canadense,2,1,,0,,0,,0,,0,1
3,Crataegus,sp.,1,1,,0,,0,,0,,0,1
3,Unknown,dicot,1,1,,0,,0,,0,,0,1
3,ROSA,MULTIFLORA,2,1,,0,,0,,0,,0,1
3,Circaea,lutetiana,2,1,,0,,0,,0,,0,1
3,Carya,ovata,2,1,,0,,0,,0,,0,1
3,Amelanchier,sp.,,0,,0,,0,,0,,0,1
4,Acer,saccharum,2,1,6,1,6,1,5,1,6,1,0
4,Quercus,sp.,4,1,3,1,2,1,2,1,4,1,0
4,Moss,sp.,2,1,2,1,2,1,2,1,,0,0
