plot #,plot index,mod,OM,P1,K,MG,CA,PH,CEC,PERK,PERMG,PERCA,C,N,C:N
1009-2,1,a,5.2,6,82,295,1750,6.9,11.6,1.8,21.2,75.5,3,0.26,11.6
1009-3,1,b,3.1,11,67,235,1300,6.9,8.8,2,22.4,74.2,1.8,0.154,11.7
1009-8,1,c,2.1,8,49,165,1050,7.2,6.8,1.9,20.4,77.8,1.2,0.095,12.8
1009-9,1,d,2.9,9,45,230,1250,7.2,8.3,1.4,23.1,75.5,1.7,0.162,10.4
1013-1,2,a,5.9,6,71,95,450,5,6.8,2.7,11.6,33,3.4,0.205,16.7
1013-2,2,b,8.6,8,128,160,800,5,10.5,3.1,12.7,38.2,5,0.345,14.5
1013-3,2,c,6,7,67,65,250,4.4,15.2,1.1,3.6,8.2,3.5,0.24,14.5
1013-4,2,d,6,5,48,45,150,4.1,15.6,0.8,2.4,4.8,3.5,0.231,15.1
1017-2,3,a,18.8,4,38,180,750,5.3,8.9,1.1,16.8,41.9,10.9,0.522,20.9
1017-3,3,b,4.4,1,64,210,800,6.2,7.1,2.3,24.6,56.2,2.6,0.149,17.2
1017-8,3,c,4.5,10,60,55,150,4.6,3.8,4.1,12.2,19.9,2.6,0.175,14.9
1017-9,3,d,9,4,42,115,400,4.5,7.9,1.4,12.2,25.4,5.2,0.262,19.9
1025-2,4,a,5.4,2,60,105,350,5,6.4,2.4,13.7,27.4,3.1,0.228,13.7
1025-3,4,b,3.1,1,65,60,400,5,6.3,2.7,8,31.9,1.8,0.113,15.9
1025-8,4,c,4.2,3,41,55,450,4.3,13.6,0.8,3.4,16.5,2.4,0.163,15
1025-9,4,d,4.1,3,64,50,150,4.3,15.7,1,2.6,4.8,2.4,0.159,14.9
1033-1,5,a,5.3,5,55,85,450,4.5,7.9,1.8,9,28.5,3.1,0.24,12.8
1033-2,5,b,3.8,5,39,50,250,4.2,12.6,0.8,3.3,9.9,2.2,0.171,12.9
1033-3,5,c,5.1,8,71,50,350,4.2,15.5,1.2,2.7,11.3,3,0.224,13.2
1033-4,5,d,5.6,5,52,70,350,4.6,7.3,1.8,8,24.1,3.2,0.245,13.3
1034-1,6,a,4,3,42,180,1600,6.9,9.8,1.1,15.4,82,2.3,0.18,12.9
1034-2,6,b,3.7,2,50,150,1550,6.9,9.3,1.4,13.5,83.6,2.1,0.179,12
1035-2,7,a,5.4,2,55,100,250,4.2,19,0.7,4.4,6.6,3.1,0.25,12.5
1035-3,7,b,6.3,1,59,100,200,4.4,17.6,0.9,4.7,5.7,3.7,0.126,29
1035-8,7,c,5.7,1,61,55,50,4.5,3.3,4.8,14,7.7,3.3,0.249,13.3
1035-9,7,d,5.4,1,45,135,300,4.4,15.9,0.7,7.1,9.4,3.1,0.245,12.8
1038-2,8,a,14.1,10,97,115,600,4,18.6,1.3,5.2,16.1,8.2,0.531,15.4
1038-3,8,b,12.3,3,73,45,200,3.6,22,0.9,1.7,4.6,7.1,0.563,12.7
1038-4,8,c,13,6,100,55,250,3.8,23.6,1.1,1.9,5.3,7.5,0.537,14
1038-5,8,d,6.9,3,87,35,150,3.9,18.1,1.2,1.6,4.2,4,0.289,13.8
1039-2,9,a,5.9,4,116,290,1700,6.2,13.6,2.2,17.8,62.4,3.4,0.307,11.2
1039-3,9,b,7,7,99,295,1750,6.3,13.9,1.8,17.7,63.1,4.1,0.396,10.3
1039-8,9,c,8.3,7,93,285,1800,5.9,15.2,1.6,15.6,59.2,4.8,0.406,11.9
1039-9,9,d,5.5,4,66,265,1400,5.5,14.2,1.2,15.6,49.4,3.2,0.3,10.6
1044-2,10,a,3.8,7,37,85,400,4.7,6.4,1.5,11.1,31.2,2.2,0.18,12.2
1044-3,10,b,3.7,8,46,95,550,4.9,7.3,1.6,10.9,37.9,2.1,0.19,11.3
1044-8,10,c,3.7,9,38,80,500,4.7,8.1,1.2,8.3,31,2.1,0.17,12.6
1044-9,10,d,3.9,8,47,85,500,4.9,6.9,1.7,10.2,36.1,2.3,0.192,11.8
1045-2,11,a,2.6,3,51,95,500,5.3,5.8,2.2,13.6,42.9,1.5,0.123,12.3
1045-3,11,b,1.7,11,43,60,250,5.1,3.1,3.6,16.3,40.8,1,0.073,13.5
1045-8,11,c,3.7,2,48,130,750,5.5,7.4,1.7,14.7,51,2.1,0.156,13.8
1045-9,11,d,2.8,2,55,110,600,5.7,5.3,2.7,17.4,57.1,1.6,0.122,13.4
1051-2,12,a,4.5,2,63,80,400,4.4,18.4,0.9,3.6,10.9,2.6,0.211,12.4
1051-3,12,b,6.4,4,89,110,500,4.5,9.6,2.4,9.5,25.9,3.7,0.22,16.9
1051-8,12,c,3.7,1,72,120,200,4.7,5.8,3.2,17.3,17.3,2.1,0.145,14.8
1051-9,12,d,6.3,4,73,80,200,4.8,4.3,4.4,15.7,23.5,3.7,0.266,13.8
1054-2,13,a,14.2,9,137,345,2600,6.7,17.4,2,16.5,74.6,8.2,0.677,12.2
1054-3,13,b,14.2,9,127,325,2450,6.7,16.5,2,16.4,74.3,8.2,0.654,12.6
1054-8,13,c,10,8,153,320,2250,6.7,15.5,2.5,17.2,72.5,5.8,0.508,11.4
1054-9,13,d,9.1,6,125,330,2350,6.5,17.2,1.9,16,68.2,5.3,0.511,10.3
1061-2,14,a,8.1,4,91,135,300,4.5,7.7,3,14.7,19.6,4.7,0.293,16
1061-3,14,b,7.6,4,90,195,350,4.8,8.4,2.7,19.3,20.8,4.4,0.269,16.4
1061-8,14,c,8.2,5,88,170,250,4.5,7.7,2.9,18.4,16.3,4.8,0.29,16.4
1061-9,14,d,5.2,4,66,95,200,4.4,16.4,1,4.8,6.1,3,0.187,16.1
1069-1,15,a,4.3,2,51,180,1250,5.8,11.5,1.1,13.1,54.4,2.5,0.213,11.7
1069-2,15,b,2.5,3,23,145,900,6.5,7,0.8,17.3,64.6,1.5,0.103,14.1
1069-3,15,c,3.8,4,53,170,1050,6.2,8,1.7,17.7,65.6,2.2,0.169,13.1
1069-4,15,d,3.2,3,43,160,850,5.7,8.1,1.4,16.5,52.5,1.9,0.137,13.5
1089-2,17,a,4.4,2,42,45,50,4.6,1.9,5.6,19.4,12.9,2.6,0.125,20.4
1089-3,17,b,4.5,4,66,215,1250,6.3,9.4,1.8,19,66.4,2.6,0.175,14.9
1089-8,17,c,4.5,1,84,100,300,4.9,6.1,3.5,13.6,24.4,2.6,0.189,13.8
1089-9,17,d,4.3,1,71,65,100,4.6,3.6,5,14.9,13.8,2.5,0.162,15.4
