"","mOM","mP","mKppm","mMgppm","mCappm","mpH","mCEC","mK","mMg","mCa","mC","mN","mC.N","mlight","ml","mo","mr","vOM","vP","vKppm","vMgppm","vCappm","vpH","vCEC","vK","vMg","vCa","vC","vN","vC.N","vlight","vl","vo","vr"
"1",4.5,10.5,105.75,213.75,1600,7.025,10.375,2.625,17.075,77.275,2.625,0.1985,14.025,88.9375,3.5,0.925,101,13.4562237959889,31.5869027652895,26.7505345812116,27.5040374650406,8.46254000482912,3.36356984074919,6.06412404439418,26.0936159848057,20.6416205547023,6.51970857638742,12.5868111756184,25.1300740069019,34.1769077501378,1.56297281027053,20.2030508910442,47.01977784036,0
"2",8.325,8,89.5,135,725,5.05,9.2,2.675,11.9,38.775,4.825,0.381,13.575,89.1875,3.5,0.125,25.5,23.607500308749,27.0030862433661,22.0935418248997,67.9573281211007,53.2718631092251,4.71381414425271,44.2948674984413,21.4478685084841,33.7183237777124,11.190867232154,23.1639637019675,42.8762471029592,23.4987712887145,1.48985925896772,11.6642368703961,200,19.4107743855131
"3",8.25,2.25,61.25,160,637.5,5.8,6.525,2.45,19.475,45.4,4.775,0.2345,20.4,73.8125,3.3,0.1,69.25,11.305914003744,22.2222222222222,8.25795423428219,54.9028498046018,74.7844953745767,23.9317963375368,16.6655656482234,16.4957219768465,41.2136729788543,64.595930058369,11.6445565917014,10.477453709379,8.03483062297009,12.7281676031252,64.4726197867998,115.470053837925,20.3664722002792
"4",6.825,3.5,79.25,88.75,512.5,4.95,7.4,2.8,10.175,33.875,3.975,0.27875,14.575,89.0625,4,0.0499999999999998,75.5,20.8373079169639,16.4957219768465,6.29862424053499,18.6142982174639,35.0631848013786,4.20538585750734,20.5239382880982,15.1522881682832,20.8232468182746,15.1780926215014,21.4820770774834,29.3226455904666,17.169802752991,3.93233002838509,17.6776695296637,115.470053837925,25.4658510223748
"5",7.95,8.5,78.25,72.5,375,4.8,6.6,3.05,9.25,28.475,4.625,0.32475,14.225,80.9375,6.5,2.75,61.5,8.500266219167,15.1881699851271,14.659396641167,11.9451779832336,17.2132593164774,1.70103454359943,12.4328622475668,8.25118517515929,11.726947816413,12.6958041861494,8.16198317326567,4.61808220630422,5.17782771973857,5.94878669875555,8.88231183368655,31.4918328648887,15.3971519906144
"6",3,3.5,63,122.5,2000,7.05,11.25,1.4,9.05,88.8,1.75,0.1285,13.75,88.125,1.25,0,101,18.8561808316413,20.2030508910442,11.2239171616912,25.9753511456283,0,3.00896502632573,1.88561808316413,10.1015254455221,24.2213372561138,1.43332455645922,20.2030508910442,6.05305415801714,26.2272333385556,3.41016036316917,141.42135623731,0,0
"7",6.375,1,66.75,85,212.5,4.575,10.05,2.475,10.75,16.525,3.7,0.284,13.075,87.4375,3.5,0.5,101,10.7444301113906,0,10.0404340888305,33.9617805405662,40.184120650822,4.1376381390166,83.9936955033028,49.1951339874179,57.5166634683189,59.3809642984192,11.4665964516737,12.200928633724,10.0183419875735,4.02576921810685,75.5928946018455,141.42135623731,0
"8",11.725,3.75,88.5,47.5,237.5,3.725,22.825,1.025,1.8,5.7,6.9,0.43825,15.625,77.375,6.75,2.25,101,29.2424569188762,33.5548197123144,13.5750066221771,13.5894152498506,46.681174370702,4.02684563758389,18.0794790260535,25.6581038017228,36.0041149911548,70.408968155754,28.399881075747,23.4751361584467,11.224354472901,14.3006759136224,48.948710127405,42.5523159002817,0
"9",7.7,5.75,107.5,276.25,1675,6.175,13.35,2.05,17.225,62.675,4.5,0.3935,11.425,86.25,2.75,0.3,101,12.8564869306645,26.0869565217391,12.8111183008456,5.98015915583681,5.71598273287366,1.5504892433301,4.59724160787065,11.6120787455981,3.19303338171263,1.34363037858368,12.5707872210942,11.8481825260979,4.06633402327246,11.9814554834688,45.7565723349742,81.6496580927726,0
"10",4.275,10,52.75,100,650,5.125,7.825,1.725,10.65,41.475,3.75,0.19875,18.475,84.25,3.25,0.125,101,9.62102353158134,8.16496580927726,6.26357902104234,9.12870929175277,10.8785658644084,3.33234171250718,5.75079872204472,8.69565217391304,4.16404841804384,5.77110975139444,72.0986977845108,6.09857537461693,66.5836052355482,4.89988766627135,38.7170996680551,76.5941686205071,0
"11",4.45,5,70.5,122.5,937.5,5.725,8.275,2.225,12.475,57.05,2.575,0.214,12.125,85.5,6.625,1.75,71.25,17.4549516070877,23.094010767585,5.49359339887577,18.4051010319302,12.6021750033403,4.36681222707423,16.3440106575374,18.1174331422439,20.0814536174995,10.2412957264204,18.5908176263367,21.3287600274597,9.21782473088604,3.26474351353689,27.1243505067268,54.7101204432193,52.6689925500654
"12",6.6,4.5,98.25,88.75,262.5,4.55,13.4,2.625,7.75,13.925,3.825,0.30075,12.7,89.875,5.375,0.525,69.75,16.0825084122128,42.5523159002817,14.209929682384,17.4405404892082,18.2367068144064,4.20847080332456,57.0460439679888,68.5978784966442,67.0512666188012,70.2630398841933,15.448451330053,15.6931940133436,3.91067307762502,3.96322860883867,13.953488372093,104.761904761905,62.2005809449034
"13",5.475,2.75,135.25,230,1675,6.625,11.6,2.975,16.525,72.175,3.175,0.273,11.65,89,2.675,0,101,9.70789571939238,34.8155311911396,17.4902135334894,5.32497770170256,5.17030091811605,1.89932941767818,5.58684542966195,18.4873949579832,2.48894859894162,5.28242299519242,9.04655534887879,7.38680510977004,6.81309350488736,1.8773349864947,70.8227892011484,0,0
"14",7.275,6.5,87.5,131.25,375,4.725,7.7,2.925,14.325,24.5,4.225,0.3085,13.65,88.75,3.75,0.375,40.5,21.2466383589674,69.3730731203522,17.2188790552221,21.1820029429997,17.2132593164774,2.02630075715627,21.2870837283883,10.5835758524255,18.8125835646937,4.44629513969203,21.8107076083299,16.3590961179197,7.09022277946666,4.46577350257056,23.094010767585,66.6666666666667,100.002540230907
"15",4.225,5.75,57.25,171.25,1150,6.325,8.85,1.675,16.175,65.2,2.425,0.1775,13.675,91.8125,0.375,0,101,19.4577711323685,16.6509062218494,12.2996391116609,8.71847828086079,12.7996534294606,4.54115624232255,9.43124973676002,5.71598273287366,3.47443901083717,9.01565696904624,20.0258450643759,20.106178511487,5.11447538290244,1.91737056267553,66.6666666666667,0,0
"16",6.9,4.5,96.25,233.75,1800,6.125,13.875,1.75,14.05,64.575,4,0.366,11.025,90.0625,7.25,0.6,89.5,26.3273943834565,12.8300059819917,8.37100049542637,7.48663101604278,15.548940392358,4.68943889513308,9.36705908222554,10.9420240886439,2.2129013174588,7.84689532173425,26.0608262851865,27.4541450517759,11.553504945902,0.730036263615984,20.6896551724138,78.1735959970572,25.6983240223464
"17",7.125,3.25,78.5,76.25,450,4.85,7,2.9,9.075,31.625,4.125,0.261,15.75,88.125,2.375,0.9,40.75,16.5024224790244,38.7170996680551,12.1965236656858,29.9899950470213,46.2592444325807,11.724207635211,18.6262925862933,8.44651635442475,25.1499712377041,42.5672431770228,16.8393260478179,12.6107392452947,7.34059055916387,2.02593714284904,20.1563601632913,111.48086624661,16.3240916511044
"18",4.4,3,76.25,90,375,4.4,13.9,1.55,6.1,14.775,2.55,0.175,14.725,90.25,4.75,1,76.75,23.2515291715497,60.8580619450185,3.44912215039552,17.5682092231577,7.69800358919501,1.85567404756302,31.3314652481143,41.644982217284,51.1622509322205,38.4949765301712,22.754111353633,18.715194452673,23.4557729851173,2.51859311117006,34.9118398984779,40.8248290463863,29.4507697862506
"19",6.9,2.75,66,43.75,225,4.95,3.775,4.525,9.9,29.95,3.975,0.2525,15.575,87,2.875,0,41.25,25.7900440870322,34.8155311911396,5.24863881081478,25.3412089440954,38.490017945975,7.46837475179086,11.5214025171743,12.2879022597512,33.5925033299311,38.5084646533419,26.0127083760941,19.6708529713864,8.55604473307251,2.00464076019697,57.4615292799971,0,35.3183085680811
"20",4.525,17.5,91.25,203.75,2675,7.7,15.325,1.575,11.925,86.525,2.625,0.17375,15.2,89.9375,6.625,0,101,22.8509427171213,120.27180102771,8.64642950030657,19.4650372749134,29.1772447949361,3.35323233437871,23.9361785854033,17.4843509437654,38.9756726611643,5.68027555567323,22.0766205088428,22.2080477426183,14.9155053273087,1.36884750546158,38.6677387394702,0,0
"21",7.275,3,58.75,41.25,162.5,4.525,12.125,2.225,5.45,13.4,4.225,0.29125,14.5,88.5,6.125,2,39.75,19.1578829756238,27.2165526975909,12.6137498300231,18.1818181818182,15.3846153846154,4.18335789745876,79.2936543172186,74.6099002083946,83.5819594416908,84.6546323133566,18.4731668228293,16.1880917422783,5.65909591958215,1.49477475201389,28.5714285714286,70.7106781186548,59.3687595045179
"22",2.55,1.75,47.25,123.75,1362.5,7.225,8.275,1.5,12.525,82.575,1.475,0.102,14.825,93.0625,3.25,0,85.75,31.6166970521512,28.5714285714286,15.2982352325936,42.9342441193133,16.2396551037942,5.34561948154854,9.73666220767116,9.42809041582064,40.5296126070355,14.0103323509027,31.0066050486152,37.4179438861891,22.8173791238892,1.69013531123142,29.4592956232719,0,23.7354314134666
"23",8.825,1.25,70,50,275,4.3,14.575,1.725,4.175,14.7,5.1,0.289,17.75,86,4,1,77.75,24.6594559618418,40,16.9432827377688,18.2574185835055,43.2813844154112,7.35413409341483,65.8265913822386,61.2365289951336,64.6669622659141,80.8789850015417,24.1211007676417,26.2307169221681,9.56641173855401,0.855790781620915,73.5980072193987,70.7106781186548,34.6292945724131
"24",12.075,2,78,42.5,212.5,4.1,24.7,0.825,1.45,4.3,7.025,0.33225,21.15,90.5,6.625,2.25,39,4.13387967753539,40.8248290463863,18.7839837400307,20.3770683243397,11.7647058823529,5.97436522630044,4.65146772999031,20.7009106383022,21.4422506967559,10.0476599975316,4.40668460759353,5.52454172532511,4.02122957357701,0.748069834681028,50.5810547493914,42.5523159002817,15.5264120722948
"25",10.7,2.75,84.25,46.25,237.5,4.225,22.8,0.95,1.7,5.175,6.2,0.316,19.825,87.875,4.5,1.5,44.5,7.35888586356244,34.8155311911396,14.1232991086857,18.4629743530804,62.8648170777857,1.18343195266272,2.65583364394517,13.5894152498506,17.3171781692703,60.6236886649314,6.9685383853848,8.44804348108689,13.0393603578417,2.61260830990155,28.6887655274623,47.1404520791032,60.701894062444
"26",7.35,4.5,78.5,211.25,1550,6.15,12.125,1.65,14.5,63.45,4.25,0.30675,14,93.375,4.75,0.225,38.25,26.0405935962913,58.7944735792131,22.8472204710227,24.8520710059172,25.9405120039028,6.83442829968482,17.7830320172131,17.4954627027159,15.8470693697601,12.0141710618748,26.5163003990227,30.6165235659017,8.82559666326221,2.55405408679236,34.9118398984779,91.6245694581702,50.1695191173738
"27",8.825,1.75,78.75,35,200,4.3,21.875,0.9,1.325,4.55,5.125,0.2545,20.025,90.75,5.25,0.625,33,23.5224162972148,54.7101204432193,19.6004432259468,11.6642368703961,40.8248290463863,3.28886874970488,6.78437580784267,15.7134840263677,7.22586496419878,41.7582417582418,23.4349505355401,18.6091634360937,7.50034050330808,2.38043735478709,28.5714285714286,76.594168620507,11.866000125728
"28",7.25,6.5,113.25,83.75,350,4.875,6.025,5.125,11.55,26.975,4.225,0.25425,16.65,87.6875,3.5,0.05,37.875,12.7663847144044,47.8327130927631,12.9247515834918,38.8059701492537,53.4522483824849,5.12820512820513,29.1403317279327,29.8638592488077,18.3868056983509,34.5969039668717,12.580054216254,7.54079169781423,13.4164011433566,4.82925578388278,42.0560041253707,200,20.1761495665426
"29",10.925,52.25,88.5,67.5,375,4.35,20.375,1.125,3.3,12.025,6.325,0.36125,17.825,86.8125,6,1.125,53,11.4903615912437,177.116235674596,12.1523659547282,66.9404528974121,120.492815215342,7.14741689891863,21.6113528665513,16.8263950986675,99.0620227874381,144.770813792546,11.5010028157023,21.7946572362753,11.3353140820066,3.4185263072952,40.8248290463863,55.9246995205241,12.0321550123956
