,x
1,Acer negundo
2,Acer rubrum
3,Acer saccharum
4,Acer sp.
5,Actaea alba
6,Aesculus glabra
7,ALLIARIA PETIOLATA
8,Allium canadense
9,Allium tricoccum
10,Amelanchier sp.
11,Anemone quinquefolia
12,Anemonella thalictroides
13,Arisaema dracontium
14,Arisaema triphyllum
15,Asarum canadense
16,BARBAREA VERNA
17,BERBERIS THUNBERGII
18,Betula alleghaniensis
19,Camassia scilloides
20,Cardamine concatenata
21,Cardamine diphylla
22,Cardamine douglassii
23,Cardamine rhomboidea
24,Carex laxiculmis
25,Carex pensylvanica
26,Carex plantaginea
27,Carex sp.
28,Carpinus caroliniana
29,Carya cordiformis
30,Carya sp.
31,Caulophyllum thalictroides
32,CELASTRUS ORBICULATUS
33,Claytonia virginica
34,Conopholis americana
35,Cornus florida
36,Cornus sp.
37,Crataegus sp.
38,Dicentra canadensis
39,Dicentra cucullaria
40,Dryopteris carthusiana
41,Dryopteris intermedia
42,Dryopteris sp.
43,DUCHESNEA INDICA
44,Elymus sp.
45,Equisetum sp.
46,Erigenia bulbosa
47,Erythronium americanum
48,EUONYMUS ALATUS
49,Euonymus atropurpureus
50,EUONYMUS FORTUNEI
51,Euonymus obovatus
52,Fagus grandifolia
53,Festuca sp.
54,Floerkea proserpinacoides
55,Fragaria virginiana
56,Fraxinus americana
57,Fraxinus pennsylvanica
58,Fraxinus sp.
59,Galium aparine
60,Geranium maculatum
61,Geum vernum
62,GLECHOMA HEDERACEA
63,Hamamelis virginiana
64,Hedyotis caerulea
65,Hepatica acutiloba
66,HESPERIS MATRONALIS
67,Hydrophyllum virginianum
68,Isopyrum biternatum
69,Leersia virginica
70,LIGUSTRUM VULGARE
71,Lilium sp.
72,Lindera benzoin
73,Liriodendron tulipifera
74,LONICERA MAACKII
75,LONICERA MORROWII
76,Luzula multiflora
77,Magnolia acuminata
78,Maianthemum canadense
79,Maianthemum racemosum
80,Mertensia virginica
81,Mitchella repens
82,Mitella diphylla
83,MORUS ALBA
84,Moss sp.
85,Osmorhiza claytonii
86,Osmorhiza longistylis
87,Ostrya virginiana
88,Oxalis stricta
89,Panax trifolius
90,Panicum sp.
91,Parthenocissus quinquefolia
92,Phlox divaricata
93,Picea sp.
94,Pinus nigra
95,Pinus strobus
96,Poa sp.
97,Podophyllum peltatum
98,Polemonium reptans
99,Polygonatum biflorum
100,Polygonatum pubescens
101,Polystichum acrostichoides
102,Potentilla simplex
103,Prenanthes sp.
104,Prosartes lanuginosa
105,Prunus serotina
106,Prunus virginiana
107,Pyrus sp.
108,Quercus alba
109,Quercus rubra
110,Quercus sp.
111,Ranunculus abortivus
112,Ranunculus fascicularis
113,RANUNCULUS FICARIA
114,Ranunculus hispidus
115,Ranunculus recurvatus
116,RANUNCULUS REPENS
117,Ranunculus sp.
118,RHAMNUS FRANGULA
119,Ribes sp.
120,ROSA MULTIFLORA
121,Rubus allegheniensis
122,Rubus hispidus
123,Rubus occidentalis
124,Rubus pensylvanicus
125,Rubus sp.
126,Sambucus canadensis
127,Sambucus sp.
128,Sanguinaria canadensis
129,Sassafras albidum
130,Senecio aureus
131,Senecio obovatus
132,Smilax hispida
133,Smilax rotundifolia
134,Symplocarpus foetidus
135,TARAXACUM OFFICINALE
136,Thelypteris noveboracensis
137,Tiarella cordifolia
138,Tilia americana
139,Toxicodendron radicans
140,Trillium erectum
141,Trillium grandiflorum
142,Trillium sessile
143,Trillium sp.
144,Tsuga canadensis
145,Tussilago farfara
146,Ulmus sp.
147,Unknown forb
148,Unknown monocot
149,Unknown vine
150,Uvularia sessilifolia
151,Vaccinium pallidum
152,VERONICA OFFICINALIS
153,Viburnum acerifolium
154,Viburnum dentatum
155,VIBURNUM OPULUS
156,VIBURNUM PLICATUM
157,Viola blanda
158,Viola canadensis
159,Viola pubescens
160,Viola rostrata
161,Viola sororia
162,Viola sp.
163,Viola striata
164,Vitis sp.
165,Zizia aptera
166,Zizia aurea
