"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","summalpha.light","summalpha.l","summalpha.o","summalpha.r"
"57",1,"a",5.2,6,82,295,1750,6.9,11.6,1.8,21.2,75.5,3,0.26,11.6,15.5,0.8,0,101
"58",1,"b",3.1,11,67,235,1300,6.9,8.8,2,22.4,74.2,1.8,0.154,11.7,13,0.1,0,101
"59",1,"c",2.1,8,49,165,1050,7.2,6.8,1.9,20.4,77.8,1.2,0.095,12.8,9,1,0,101
"60",1,"d",2.9,9,45,230,1250,7.2,8.3,1.4,23.1,75.5,1.7,0.162,10.4,9.75,1.2,0,101
"61",2,"a",5.9,6,71,95,450,5,6.8,2.7,11.6,33,3.4,0.205,16.7,1.75,2.4,0,21
"62",2,"b",8.6,8,128,160,800,5,10.5,3.1,12.7,38.2,5,0.345,14.5,1.75,3,0,21.5
"63",2,"c",6,7,67,65,250,4.4,15.2,1.1,3.6,8.2,3.5,0.24,14.5,2.75,2,0,29
"64",2,"d",6,5,48,45,150,4.1,15.6,0.8,2.4,4.8,3.5,0.231,15.1,2,2.3,0,30.5
"65",3,"a",18.8,4,38,180,750,5.3,8.9,1.1,16.8,41.9,10.9,0.522,20.9,11,0.3,0,77
"66",3,"b",4.4,1,64,210,800,6.2,7.1,2.3,24.6,56.2,2.6,0.149,17.2,7.75,0.3,0,85
"67",3,"c",4.5,10,60,55,150,4.6,3.8,4.1,12.2,19.9,2.6,0.175,14.9,5.75,0.6,0,60
"68",3,"d",9,4,42,115,400,4.5,7.9,1.4,12.2,25.4,5.2,0.262,19.9,7.25,2,0,55
"69",4,"a",5.4,2,60,105,350,5,6.4,2.4,13.7,27.4,3.1,0.228,13.7,4.5,4.5,0,89
"70",4,"b",3.1,1,65,60,400,5,6.3,2.7,8,31.9,1.8,0.113,15.9,5.25,2.5,0,95
"71",4,"c",4.2,3,41,55,450,4.3,13.6,0.8,3.4,16.5,2.4,0.163,15,7.5,1.4,0,60
"72",4,"d",4.1,3,64,50,150,4.3,15.7,1,2.6,4.8,2.4,0.159,14.9,4,2.6,0,58
"73",5,"a",5.3,5,55,85,450,4.5,7.9,1.8,9,28.5,3.1,0.24,12.8,1.25,0.7,1.9,72
"74",5,"b",3.8,5,39,50,250,4.2,12.6,0.8,3.3,9.9,2.2,0.171,12.9,0.75,0.4,1.7,53
"75",5,"c",5.1,8,71,50,350,4.2,15.5,1.2,2.7,11.3,3,0.224,13.2,0.25,0.5,0.9,67
"76",5,"d",5.6,5,52,70,350,4.6,7.3,1.8,8,24.1,3.2,0.245,13.3,0.25,0.7,1.4,54
"77",6,"a",4,3,42,180,1600,6.9,9.8,1.1,15.4,82,2.3,0.18,12.9,5.75,1.4,0,101
"78",6,"b",3.7,2,50,150,1550,6.9,9.3,1.4,13.5,83.6,2.1,0.179,12,1,1.6,0,101
"79",7,"a",5.4,2,55,100,250,4.2,19,0.7,4.4,6.6,3.1,0.25,12.5,11.75,0.9,0.7,101
"80",7,"b",6.3,1,59,100,200,4.4,17.6,0.9,4.7,5.7,3.7,0.126,29,12.25,0.3,0.1,101
"81",7,"c",5.7,1,61,55,50,4.5,3.3,4.8,14,7.7,3.3,0.249,13.3,9,0.5,0.4,101
"82",7,"d",5.4,1,45,135,300,4.4,15.9,0.7,7.1,9.4,3.1,0.245,12.8,8,0.5,0,101
"83",8,"a",14.1,10,97,115,600,4,18.6,1.3,5.2,16.1,8.2,0.531,15.4,5.75,1.6,0,101
"84",8,"b",12.3,3,73,45,200,3.6,22,0.9,1.7,4.6,7.1,0.563,12.7,5.75,1.3,0,101
"85",8,"c",13,6,100,55,250,3.8,23.6,1.1,1.9,5.3,7.5,0.537,14,3.75,1.9,0,101
"86",8,"d",6.9,3,87,35,150,3.9,18.1,1.2,1.6,4.2,4,0.289,13.8,2.5,2.4,0,101
"87",9,"a",5.9,4,116,290,1700,6.2,13.6,2.2,17.8,62.4,3.4,0.307,11.2,7.5,0.4,0,101
"88",9,"b",7,7,99,295,1750,6.3,13.9,1.8,17.7,63.1,4.1,0.396,10.3,10,0.3,0,101
"89",9,"c",8.3,7,93,285,1800,5.9,15.2,1.6,15.6,59.2,4.8,0.406,11.9,8,0.6,0,101
"90",9,"d",5.5,4,66,265,1400,5.5,14.2,1.2,15.6,49.4,3.2,0.3,10.6,15,0.7,0,101
"91",10,"a",3.8,7,37,85,400,4.7,6.4,1.5,11.1,31.2,2.2,0.18,12.2,3.75,0.2,0,101
"92",10,"b",3.7,8,46,95,550,4.9,7.3,1.6,10.9,37.9,2.1,0.19,11.3,1.75,0.2,0,101
"93",10,"c",3.7,9,38,80,500,4.7,8.1,1.2,8.3,31,2.1,0.17,12.6,2.75,0.2,0,101
"94",10,"d",3.9,8,47,85,500,4.9,6.9,1.7,10.2,36.1,2.3,0.192,11.8,4.5,0.2,0,101
"95",11,"a",2.6,3,51,95,500,5.3,5.8,2.2,13.6,42.9,1.5,0.123,12.3,7.75,1.8,0,23
"96",11,"b",1.7,11,43,60,250,5.1,3.1,3.6,16.3,40.8,1,0.073,13.5,8.25,1.6,0,101
"97",11,"c",3.7,2,48,130,750,5.5,7.4,1.7,14.7,51,2.1,0.156,13.8,9,1.5,0,60
"98",11,"d",2.8,2,55,110,600,5.7,5.3,2.7,17.4,57.1,1.6,0.122,13.4,8.75,1.6,0,101
"99",12,"a",4.5,2,63,80,400,4.4,18.4,0.9,3.6,10.9,2.6,0.211,12.4,1.5,1.7,0,9
