"","x"
"1","Actaea alba"
"2","Agrimonia gryposepala"
"3","Agrimonia parviflora"
"4","Agrimonia pubescens"
"5","Agrimonia sp."
"6","ALLIARIA PETIOLATA"
"7","Allium canadense"
"8","Allium tricoccum"
"9","Amphicarpaea bracteata"
"10","Anemonella thalictroides"
"11","Apocynum cannabinum"
"12","ARCTIUM LAPPA"
"13","Arisaema dracontium"
"14","Arisaema triphyllum"
"15","Asarum canadense"
"16","Aster cordifolius"
"17","Aster lanceolatus"
"18","Aster lateriflorus"
"19","Aster macrophyllus"
"20","Aster sp."
"21","Aster umbellatus"
"22","Bidens sp."
"23","Blephilia hirsuta"
"24","Caulophyllum thalictroides"
"25","CERASTIUM VULGATUM"
"26","Circaea lutetiana"
"27","Clematis virginiana"
"28","Collinsonia canadensis"
"29","CONIUM MACULATUM"
"30","Conopholis americana"
"31","Cryptotaenia canadensis"
"32","Desmodium glutinosum"
"33","DUCHESNEA INDICA"
"34","Epifagus virginiana"
"35","Epilobium coloratum"
"36","Epilobium sp."
"37","EPIPACTIS HELLEBORINE"
"38","Equisetum hyemale"
"39","Erechtites hieracifolia"
"40","Erigeron annuus"
"41","Eupatorium maculatum"
"42","Eupatorium purpureum"
"43","Eupatorium rugosum"
"44","Euthamia graminifolia"
"45","FRAGARIA VESCA"
"46","Galium aparine"
"47","Galium concinnum"
"48","Galium sp."
"49","Galium triflorum"
"50","Geranium maculatum"
"51","Geum canadense"
"52","Geum sp."
"53","GLECHOMA HEDERACEA"
"54","Hackelia virginiana"
"55","Hedyotis caerulea"
"56","Heliopsis helianthoides"
"57","Hepatica acutiloba"
"58","Heracleum lanatum"
"59","HESPERIS MATRONALIS"
"60","Hydrophyllum canadense"
"61","Hydrophyllum virginianum"
"62","HYPERICUM PERFORATUM"
"63","Impatiens capensis"
"64","Impatiens pallida"
"65","Impatiens sp."
"66","Iris sp."
"67","Jeffersonia diphylla"
"68","Juncus tenuis"
"69","Lactuca sp."
"70","Laportea canadensis"
"71","Lobelia sp."
"72","Luzula acuminata"
"73","Lycopus sp."
"74","Lysimachia ciliata"
"75","LYSIMACHIA NUMMULARIA"
"76","Maianthemum canadense"
"77","Maianthemum racemosum"
"78","Mitchella repens"
"79","Mitella diphylla"
"80","Monarda clinopodia"
"81","Monarda fistulosa"
"82","Monotropa uniflora"
"83","MYOSOTIS SCORPIOIDES"
"84","Osmorhiza claytonii"
"85","Osmorhiza longistylis"
"86","Oxalis stricta"
"87","Phytolacca americana"
"88","Pilea pumila"
"89","Plantago rugelii"
"90","Plantago sp."
"91","Podophyllum peltatum"
"92","Polemonium reptans"
"93","Polygonatum biflorum"
"94","Polygonatum pubescens"
"95","Polygonum hydropiperoides"
"96","POLYGONUM PERSICARIA"
"97","Polygonum sagittatum"
"98","Polygonum sp."
"99","Polygonum virginianum"
"100","Potentilla simplex"
"101","Prenanthes sp."
"102","Prosartes lanuginosa"
"103","Prunella vulgaris"
"104","Ranunculus abortivus"
"105","RANUNCULUS ACRIS"
"106","Ranunculus hispidus"
"107","Ranunculus recurvatus"
"108","Ranunculus sp."
"109","Rubus hispidus"
"110","Rudbeckia laciniata"
"111","RUMEX OBTUSIFOLIUS"
"112","Rumex sp."
"113","Sanguinaria canadensis"
"114","Sanicula gregaria"
"115","Sanicula sp."
"116","Scutellaria lateriflora"
"117","Sedum ternatum"
"118","Senecio obovatus"
"119","Sisyrinchium sp."
"120","Solidago caesia"
"121","Solidago flexicaulis"
"122","Solidago gigantea"
"123","Solidago patula"
"124","Solidago rugosa"
"125","Solidago sp."
"126","Symplocarpus foetidus"
"127","TARAXACUM OFFICINALE"
"128","Thalictrum dasycarpum"
"129","Thalictrum pubescens"
"130","Thaspium barbinode"
"131","Tiarella cordifolia"
"132","TRIFOLIUM REPENS"
"133","Trillium sp."
"134","TUSSILAGO FARFARA"
"135","Verbena urticifolia"
"136","Verbesina alternifolia"
"137","VERONICA OFFICINALIS"
"138","VERONICA SERPYLLIFOLIA"
"139","Viola pubescens"
"140","Viola sp."
"141","Viola striata"
"142","Zizia aurea"
