"","x"
"1","Acer negundo"
"2","Acer saccharum"
"3","Acer sp."
"4","Actaea alba"
"5","Adiantum pedatum"
"6","Aesculus glabra"
"7","Agrimonia gryposepala"
"8","Agrimonia parviflora"
"9","Agrimonia pubescens"
"10","Agrimonia sp."
"11","AGROSTIS GIGANTEA"
"12","ALLIARIA PETIOLATA"
"13","Allium canadense"
"14","Allium tricoccum"
"15","Amelanchier sp."
"16","Amphicarpaea bracteata"
"17","Anemone virginiana"
"18","Anemonella thalictroides"
"19","Apocynum cannabinum"
"20","ARCTIUM LAPPA"
"21","Arisaema dracontium"
"22","Arisaema triphyllum"
"23","Asarum canadense"
"24","Asimina triloba"
"25","Aster cordifolius"
"26","Aster lanceolatus"
"27","Aster lateriflorus"
"28","Aster macrophyllus"
"29","Aster sp."
"30","Aster umbellatus"
"31","Athyrium thelypteroides"
"32","BERBERIS THUNBERGII"
"33","Bidens sp."
"34","Blephilia hirsuta"
"35","Brachyelytrum erectum"
"36","Bromus pubescens"
"37","Cardamine pensylvanica"
"38","Carex albursina"
"39","Carex amphibola"
"40","Carex annectens"
"41","Carex blanda"
"42","Carex bromoides"
"43","Carex communis"
"44","Carex debilis"
"45","Carex digitalis"
"46","Carex festucacea"
"47","Carex gracillima"
"48","Carex grayi"
"49","Carex hirtifolia"
"50","Carex laxiculmis"
"51","Carex laxiflora"
"52","Carex pensylvanica"
"53","Carex plantaginea"
"54","Carex radiata"
"55","Carex rosea"
"56","Carex sp."
"57","Carex swanii"
"58","Carex tribuloides"
"59","Carpinus caroliniana"
"60","Carya cordiformis"
"61","Carya sp."
"62","Caulophyllum thalictroides"
"63","CELASTRUS ORBICULATUS"
"64","CERASTIUM VULGATUM"
"65","Cercis canadensis"
"66","Cinna arundinacea"
"67","Circaea lutetiana"
"68","Clematis virginiana"
"69","Collinsonia canadensis"
"70","CONIUM MACULATUM"
"71","Conopholis americana"
"72","Cornus alternifolia"
"73","Cornus florida"
"74","Cornus racemosa"
"75","Cornus sericea"
"76","Cornus sp."
"77","Crataegus sp."
"78","Cryptotaenia canadensis"
"79","Cystopteris protrusa"
"80","DACTYLIS GLOMERATA"
"81","Danthonia spicata"
"82","Desmodium glutinosum"
"83","Desmodium sp."
"84","Dryopteris carthusiana"
"85","Dryopteris goldiana"
"86","Dryopteris intermedia"
"87","DUCHESNEA INDICA"
"88","ELAEAGNUS UMBELLATA"
"89","Elymus hystrix"
"90","Elymus macgregorii"
"91","Elymus riparius"
"92","Elymus villosus"
"93","Elymus virginicus"
"94","Epifagus virginiana"
"95","Epilobium coloratum"
"96","Epilobium sp."
"97","EPIPACTIS HELLEBORINE"
"98","Equisetum hyemale"
"99","Erechtites hieracifolia"
"100","Erigeron annuus"
"101","Erigeron sp."
"102","EUONYMUS ALATUS"
"103","Euonymus atropurpureus"
"104","Euonymus obovatus"
"105","Eupatorium maculatum"
"106","Eupatorium purpureum"
"107","Eupatorium rugosum"
"108","Eupatorium sp."
"109","Euthamia graminifolia"
"110","Fagus grandifolia"
"111","FESTUCA OVINA"
"112","Festuca subverticillata"
"113","FRAGARIA VESCA"
