"","mOM","mP","mKppm","mMgppm","mCappm","mpH","mCEC","mK","mMg","mCa","mC","mN","mC.N","mlight","ml","mo","mr","vOM","vP","vKppm","vMgppm","vCappm","vpH","vCEC","vK","vMg","vCa","vC","vN","vC.N","vlight","vl","vo","vr"
"1",3.325,8.5,60.75,231.25,1337.5,7.05,8.875,1.775,21.775,75.75,1.925,0.16775,11.625,11.8125,0.775,0,101,39.7762600791794,24.4901882290133,28.1404460860556,22.9756225287136,22.0898416214777,2.45680965612606,22.5985026705708,14.8166514911357,5.54112140765045,1.97726221682384,39.6476299285032,40.7590833141486,8.4393190840209,25.4775319643659,61.7694908229896,0,0
"2",6.625,6.5,78.5,91.25,412.5,4.625,12.025,1.925,7.575,21.05,3.85,0.25525,15.2,2.0625,2.425,0,25.5,19.8869475964495,19.8614530574739,43.9382737040014,55.045089190574,69.5430888002364,9.72972972972973,34.7842169738272,59.4383487249694,70.2890237516963,80.7186331088518,19.9510279165418,24.1512900153197,6.83704266145609,22.9450842254557,17.2917465641363,0,19.4107743855131
"3",9.175,4.75,51,140,525,5.15,6.925,2.225,16.45,35.85,5.325,0.277,18.225,7.9375,0.8,0,69.25,73.7415151464033,79.4719414239026,25.3136166418785,49.4011760029677,58.4506433000697,15.2481799215401,31.9081296664034,60.6741573033708,35.5627430069158,45.9568686797342,73.4938000968631,61.4913538675124,14.8815580668261,27.8611118314238,101.550480057949,0,20.3664722002792
"4",4.2,2.25,57.5,67.5,337.5,4.65,10.5,1.725,6.925,20.15,2.425,0.16575,14.875,5.3125,2.75,0,75.5,22.4197569711516,42.5523159002817,19.495851270493,37.5276151940016,38.9623057729864,8.69129437489759,46.3644245510022,55.8801690470387,73.7204976774806,60.0728649610354,21.9178264180096,28.5345721835272,6.07216757639854,29.10427500436,46.8042050334735,0,25.4658510223748
"5",4.95,5.75,54.25,63.75,350,4.375,10.825,1.4,5.75,18.45,2.875,0.22,13.05,0.625,0.575,1.475,61.5,16.0348564306945,26.0869565217391,24.2392224854985,26.6935658257021,23.3284737407922,4.71212071499161,36.1685724712231,34.9927106111883,55.842067332182,50.1806481461113,15.9077365032026,15.3965042005579,1.82411964969166,76.594168620507,26.0869565217391,29.4869793236156,15.3971519906144
"6",3.85,2.5,46,165,1575,6.9,9.55,1.25,14.45,82.8,2.2,0.1795,12.45,3.375,1.5,0,101,5.50992297028478,28.2842712474619,12.2975092380269,12.8564869306645,2.24478343233825,0,3.70212974443219,16.9705627484771,9.29759781490962,1.36638991533632,6.42824346533224,0.393931354421475,5.11161528568589,99.5187321669956,9.42809041582064,0,0
"7",5.7,1.25,55,97.5,200,4.375,13.95,1.775,7.55,7.35,3.3,0.2175,16.9,10.25,0.55,0.3,101,7.44322927564787,40,12.9419130327652,33.6278898682154,54.0061724867322,2.87612740391267,51.7007747939314,113.739116648964,59.1595004877544,21.6692740415425,8.57099128710967,28.0635583358449,47.7716754838803,20.2110616173269,45.7565723349742,105.409255338946,0
"8",11.575,5.5,89.25,62.5,300,3.825,20.575,1.125,2.6,7.55,6.7,0.48,13.975,4.4375,1.8,0,101,27.6761442412809,60.3022689155527,13.6423480805444,57.5036230742609,68.0413817439772,4.46490229453577,12.9224323296027,15.1806678014216,66.8390276807029,75.7364227485218,27.7092543594912,26.685106471727,7.93329439215866,36.0372602110713,26.0578653323524,0,0
"9",6.675,5.5,93.5,283.75,1662.5,5.975,14.225,1.7,16.675,58.525,3.875,0.35225,11,10.125,0.5,0,101,18.8063221549569,31.4918328648887,22.2037855529697,4.6342830655094,10.8089517056881,6.0150233341277,4.88310860789097,24.4901882290133,7.44812134835036,10.7916054642508,18.7726045959529,16.0430938759965,6.42824346533225,33.8250577580815,36.5148371670111,0,0
"10",3.775,8,42,86.25,487.5,4.8,7.175,1.5,10.125,34.05,2.175,0.183,11.975,3.1875,0.2,0,101,2.53623074902341,10.2062072615966,12.4479263026652,7.29452602441618,12.9056998893517,2.40562612162344,10.0099704652336,14.4016459964619,12.6063025504828,10.2369603864513,4.40196371382224,5.53686125813139,4.64323655326716,37.5461610884838,0,0,0
